,name,ratings,service_type,reviews,salaries,interviews,jobs,benefits,photos
56,Equitas Small Finance Bank,4.4,Banking | Chennai +480 other locations,8.7k Reviews,13.2k Salaries,999 Interviews,21 Jobs,397 Benefits,43 Photos
57,EXL Service,3.6,Analytics & KPO | Noida +62 other locations,8.4k Reviews,44.1k Salaries,892 Interviews,1.5k Jobs,799 Benefits,20 Photos
58,Cipla,4.1,Pharma | Mumbai +292 other locations,8.4k Reviews,26k Salaries,580 Interviews,58 Jobs,850 Benefits,20 Photos
59,Ericsson,3.9,Telecom | Noida +162 other locations,8.3k Reviews,42.5k Salaries,469 Interviews,93 Jobs,998 Benefits,17 Photos
60,Samsung,3.9,Consumer Electronics & Appliances | Noida +580 other locations,8.3k Reviews,26.4k Salaries,618 Interviews,19 Jobs,520 Benefits,16 Photos
61,Wells Fargo,3.7,Financial Services | Bangalore / Bengaluru +27 other locations,8.2k Reviews,55.4k Salaries,676 Interviews,142 Jobs,855 Benefits,13 Photos
62,Dr. Reddy's,4.0,Pharma | Hyderabad / Secunderabad +215 other locations,8.1k Reviews,26k Salaries,498 Interviews,12 Jobs,740 Benefits,28 Photos
63,Optum Global Solutions,4.0,IT Services & Consulting | Hyderabad / Secunderabad +68 other locations,7.7k Reviews,48.6k Salaries,751 Interviews,121 Jobs,686 Benefits,1 Photos
64,Delhivery,3.8,Logistics | Gurgaon / Gurugram +754 other locations,7.7k Reviews,21.1k Salaries,601 Interviews,194 Jobs,656 Benefits,70 Photos
65,ICICI Prudential Life Insurance,4.0,Insurance | Mumbai +505 other locations,7.6k Reviews,23.2k Salaries,473 Interviews,578 Jobs,625 Benefits,13 Photos
66,JSW Steel,3.9,Iron & Steel | Ballari +193 other locations,7.6k Reviews,30.4k Salaries,791 Interviews,114 Jobs,600 Benefits,32 Photos
67,JPMorgan Chase & Co.,3.8,Financial Services | Bangalore / Bengaluru +55 other locations,7.6k Reviews,85.8k Salaries,854 Interviews,775 Jobs,845 Benefits,14 Photos
68,HGS,3.7,BPO | Bangalore / Bengaluru +121 other locations,7.6k Reviews,20.9k Salaries,273 Interviews,19 Jobs,968 Benefits,32 Photos
69,Jana Small Finance Bank,3.8,Banking | Bangalore / Bengaluru +419 other locations,7.5k Reviews,14.4k Salaries,304 Interviews,39 Jobs,623 Benefits,17 Photos
70,Hexaware Technologies,3.4,IT Services & Consulting | Chennai +68 other locations,7.4k Reviews,53.2k Salaries,815 Interviews,716 Jobs,547 Benefits,30 Photos
71,Ujjivan Small Finance Bank,4.0,Banking | Bangalore / Bengaluru +533 other locations,7.4k Reviews,12.9k Salaries,314 Interviews,212 Jobs,579 Benefits,26 Photos
72,Sun Pharmaceutical Industries,4.1,Pharma | Vadodara +265 other locations,7.4k Reviews,23.3k Salaries,652 Interviews,325 Jobs,594 Benefits,17 Photos
73,Amazon Development Centre India,3.8,Internet | Hyderabad / Secunderabad +146 other locations,7.4k Reviews,38.4k Salaries,876 Interviews,8 Jobs,20 Benefits,12 Photos
74,Lupin,4.1,Pharma | Pune +201 other locations,7.2k Reviews,22.6k Salaries,436 Interviews,38 Jobs,764 Benefits,11 Photos
75,L&T Construction,4.0,Engineering & Construction | Chennai +433 other locations,7.2k Reviews,19.3k Salaries,943 Interviews,-- Jobs,929 Benefits,35 Photos
76,Zydus Lifesciences,4.0,Pharma | Ahmedabad +177 other locations,7.2k Reviews,19.9k Salaries,419 Interviews,31 Jobs,605 Benefits,21 Photos
77,Ekart Logistics,3.9,Logistics | Bangalore / Bengaluru +741 other locations,7.2k Reviews,15.8k Salaries,405 Interviews,-- Jobs,422 Benefits,75 Photos
78,Hindustan Unilever,4.2,FMCG | Mumbai +533 other locations,7.1k Reviews,20.1k Salaries,463 Interviews,44 Jobs,704 Benefits,3 Photos
79,KPMG India,3.4,Management Consulting | Bangalore / Bengaluru +112 other locations,7k Reviews,64.9k Salaries,913 Interviews,65 Jobs,749 Benefits,6 Photos
80,ITC,3.9,FMCG | Bangalore / Bengaluru +376 other locations,7k Reviews,24.4k Salaries,684 Interviews,76 Jobs,638 Benefits,14 Photos
81,Axis Max Life Insurance,4.0,Insurance | New Delhi +495 other locations,6.9k Reviews,19.7k Salaries,399 Interviews,147 Jobs,495 Benefits,8 Photos
82,Megha Engineering & Infrastructures,3.9,Engineering & Construction | Hyderabad / Secunderabad +406 other locations,6.8k Reviews,18.7k Salaries,560 Interviews,40 Jobs,539 Benefits,38 Photos
83,Tata Projects,4.2,Engineering & Construction | Mumbai +286 other locations,6.7k Reviews,22.1k Salaries,584 Interviews,26 Jobs,540 Benefits,59 Photos
84,Coforge,3.2,IT Services & Consulting | Noida +103 other locations,6.5k Reviews,48.7k Salaries,693 Interviews,128 Jobs,273 Benefits,102 Photos
85,FIS,3.8,FinTech | Pune +61 other locations,6.4k Reviews,38.9k Salaries,532 Interviews,129 Jobs,721 Benefits,17 Photos
86,Bajaj Life Insurance,3.8,Insurance | Pune +608 other locations,6.4k Reviews,17k Salaries,440 Interviews,64 Jobs,474 Benefits,17 Photos
87,L&T Technology Services,3.1,IT Services & Consulting | Bangalore / Bengaluru +93 other locations,6.4k Reviews,43k Salaries,626 Interviews,-- Jobs,444 Benefits,11 Photos
88,Cholamandalam Investment & Finance,3.8,Financial Services | Chennai +842 other locations,6.4k Reviews,12.9k Salaries,279 Interviews,16 Jobs,293 Benefits,39 Photos
89,IIFL Finance,4.0,NBFC | Mumbai +801 other locations,6.2k Reviews,14.1k Salaries,323 Interviews,75 Jobs,399 Benefits,18 Photos
90,Oracle,3.5,Software Product | Bangalore / Bengaluru +56 other locations,6.2k Reviews,62.6k Salaries,944 Interviews,1.1k Jobs,617 Benefits,39 Photos
91,Indian Army,4.7,Defence & Aerospace | New Delhi +365 other locations,6.2k Reviews,9.5k Salaries,202 Interviews,-- Jobs,728 Benefits,8 Photos
92,Muthoot Finance,3.7,NBFC | Bangalore / Bengaluru +784 other locations,6.2k Reviews,13k Salaries,344 Interviews,92 Jobs,325 Benefits,12 Photos
93,Omega Healthcare,3.8,BPO | Chennai +69 other locations,6.2k Reviews,26.4k Salaries,541 Interviews,114 Jobs,391 Benefits,26 Photos
94,JLL,4.1,Real Estate | Gurgaon / Gurugram +84 other locations,6.2k Reviews,24.2k Salaries,480 Interviews,234 Jobs,539 Benefits,21 Photos
95,eClerx,3.1,IT Services & Consulting | Pune +32 other locations,6.1k Reviews,31.9k Salaries,628 Interviews,319 Jobs,555 Benefits,26 Photos
96,HCL Group,3.5,IT Services & Consulting | Chennai +97 other locations,6.1k Reviews,39.8k Salaries,514 Interviews,-- Jobs,661 Benefits,1 Photos
97,Piramal Finance,4.2,NBFC | Mumbai +423 other locations,6k Reviews,12.7k Salaries,291 Interviews,6 Jobs,445 Benefits,4 Photos
98,Virtusa Consulting Services,3.7,IT Services & Consulting | Hyderabad / Secunderabad +55 other locations,5.9k Reviews,56.5k Salaries,665 Interviews,1.4k Jobs,318 Benefits,23 Photos
99,DMart,3.9,Retail | Mumbai +247 other locations,5.9k Reviews,18.3k Salaries,541 Interviews,212 Jobs,470 Benefits,17 Photos
100,HSBC Group,3.9,Financial Services | Bangalore / Bengaluru +63 other locations,5.8k Reviews,42.8k Salaries,545 Interviews,134 Jobs,1.1k Benefits,26 Photos
101,Indiamart Intermesh,3.5,Internet | Noida +173 other locations,5.8k Reviews,20.5k Salaries,743 Interviews,554 Jobs,432 Benefits,17 Photos
102,SMFG India Credit,3.9,NBFC | Mumbai +595 other locations,5.8k Reviews,11k Salaries,205 Interviews,80 Jobs,348 Benefits,18 Photos
103,Udaan,3.9,Internet | Bangalore / Bengaluru +368 other locations,5.7k Reviews,15.6k Salaries,372 Interviews,5 Jobs,755 Benefits,16 Photos
104,Aurobindo Pharma,4.0,Pharma | Hyderabad / Secunderabad +115 other locations,5.7k Reviews,20.7k Salaries,286 Interviews,18 Jobs,468 Benefits,9 Photos
105,Siemens,3.9,Industrial Automation | Bangalore / Bengaluru +152 other locations,5.7k Reviews,33.5k Salaries,503 Interviews,802 Jobs,633 Benefits,13 Photos
106,Access Healthcare,3.7,BPO | Chennai +64 other locations,5.7k Reviews,28.4k Salaries,390 Interviews,572 Jobs,347 Benefits,9 Photos
107,BigBasket,3.9,Internet | Bangalore / Bengaluru +139 other locations,5.7k Reviews,19.2k Salaries,476 Interviews,88 Jobs,381 Benefits,36 Photos
108,Manappuram Finance,3.9,NBFC | Bangalore / Bengaluru +649 other locations,5.6k Reviews,9.1k Salaries,220 Interviews,4 Jobs,260 Benefits,35 Photos
109,PolicyBazaar,3.7,Internet | Gurgaon / Gurugram +149 other locations,5.6k Reviews,17.1k Salaries,621 Interviews,478 Jobs,231 Benefits,22 Photos
110,Tata Capital,4.0,NBFC | Mumbai +439 other locations,5.6k Reviews,15.8k Salaries,266 Interviews,3.5k Jobs,258 Benefits,23 Photos
111,ICICI Lombard General Insurance Company,3.5,Insurance | Mumbai +313 other locations,5.6k Reviews,20.1k Salaries,353 Interviews,198 Jobs,366 Benefits,15 Photos
112,GlobalLogic,3.5,IT Services & Consulting | Hyderabad / Secunderabad +60 other locations,5.6k Reviews,40.3k Salaries,677 Interviews,47 Jobs,515 Benefits,21 Photos
113,Shapoorji Pallonji Group,4.1,Engineering & Construction | Mumbai +189 other locations,5.6k Reviews,15.3k Salaries,418 Interviews,79 Jobs,632 Benefits,14 Photos
114,Firstsource Solutions,3.5,BPO | Bangalore / Bengaluru +74 other locations,5.6k Reviews,24.1k Salaries,358 Interviews,142 Jobs,570 Benefits,13 Photos
115,Standard Chartered,3.6,Banking | Chennai +68 other locations,5.6k Reviews,42k Salaries,321 Interviews,-- Jobs,305 Benefits,-- Photos
116,Mahindra Finance,3.9,NBFC | Mumbai +730 other locations,5.5k Reviews,12.1k Salaries,215 Interviews,442 Jobs,507 Benefits,11 Photos
117,Bosch Global Software Technologies,3.7,IT Services & Consulting | Bangalore / Bengaluru +47 other locations,5.5k Reviews,40k Salaries,387 Interviews,21 Jobs,625 Benefits,21 Photos
118,Apollo Hospitals,4.1,Healthcare | Chennai +229 other locations,5.5k Reviews,16.5k Salaries,476 Interviews,167 Jobs,507 Benefits,2 Photos
119,UST,3.7,IT Services & Consulting | Bangalore / Bengaluru +50 other locations,5.5k Reviews,39.4k Salaries,584 Interviews,151 Jobs,408 Benefits,16 Photos
120,Ashok Leyland,4.0,Automobile | Chennai +260 other locations,5.5k Reviews,18.6k Salaries,315 Interviews,-- Jobs,642 Benefits,15 Photos
121,Swiggy,3.7,Internet | Bangalore / Bengaluru +230 other locations,5.4k Reviews,23k Salaries,562 Interviews,261 Jobs,343 Benefits,18 Photos
122,Citicorp,3.7,Financial Services | Pune +68 other locations,5.4k Reviews,52.1k Salaries,620 Interviews,-- Jobs,517 Benefits,6 Photos
123,Hero MotoCorp,4.1,Automobile | Gurgaon / Gurugram +367 other locations,5.3k Reviews,15.7k Salaries,406 Interviews,2 Jobs,584 Benefits,9 Photos
124,Cyient,3.6,IT Services & Consulting | Hyderabad / Secunderabad +48 other locations,5.3k Reviews,27.5k Salaries,331 Interviews,85 Jobs,466 Benefits,3 Photos
125,CGI Group,4.0,IT Services & Consulting | Bangalore / Bengaluru +43 other locations,5.3k Reviews,45.5k Salaries,555 Interviews,823 Jobs,354 Benefits,5 Photos
126,SBI Cards & Payment Services,3.6,Financial Services | Gurgaon / Gurugram +436 other locations,5.2k Reviews,15.9k Salaries,300 Interviews,108 Jobs,344 Benefits,13 Photos
127,Kalpataru Projects International,4.2,Engineering & Construction | Mumbai +321 other locations,5.1k Reviews,13.7k Salaries,324 Interviews,1 Jobs,203 Benefits,21 Photos
128,JustDial,3.5,Internet | Noida +229 other locations,5.1k Reviews,15.5k Salaries,389 Interviews,53 Jobs,372 Benefits,9 Photos
129,BNY,3.6,Financial Services | Pune +25 other locations,5.1k Reviews,30.8k Salaries,395 Interviews,3 Jobs,528 Benefits,1 Photos
130,IQVIA,3.7,Clinical Research | Bangalore / Bengaluru +65 other locations,5.1k Reviews,30.5k Salaries,541 Interviews,26 Jobs,524 Benefits,10 Photos
131,NTT Data,3.8,IT Services & Consulting | Bangalore / Bengaluru +81 other locations,5k Reviews,35.9k Salaries,739 Interviews,196 Jobs,156 Benefits,1 Photos
132,Nagarjuna Construction Company,4.0,Engineering & Construction | Hyderabad / Secunderabad +297 other locations,5k Reviews,12k Salaries,435 Interviews,13 Jobs,408 Benefits,11 Photos
133,TVS Motor,3.9,Automobile | Hosur +349 other locations,5k Reviews,15.8k Salaries,394 Interviews,70 Jobs,536 Benefits,12 Photos
134,SBI Life Insurance Company,3.7,Insurance | Mumbai +655 other locations,5k Reviews,11.6k Salaries,306 Interviews,9 Jobs,327 Benefits,18 Photos
135,CBRE,4.1,Real Estate | Hyderabad / Secunderabad +91 other locations,5k Reviews,18.7k Salaries,342 Interviews,28 Jobs,443 Benefits,19 Photos
136,Schneider Electric,4.2,Industrial Automation | Bangalore / Bengaluru +119 other locations,5k Reviews,24.3k Salaries,449 Interviews,25 Jobs,436 Benefits,13 Photos
137,Persistent Systems,3.6,IT Services & Consulting | Pune +41 other locations,4.9k Reviews,44.8k Salaries,703 Interviews,256 Jobs,369 Benefits,33 Photos
138,State Bank of India,3.8,Banking | Mumbai +618 other locations,4.9k Reviews,11.6k Salaries,308 Interviews,15 Jobs,400 Benefits,5 Photos
139,vivo,4.1,Consumer Electronics & Appliances | Noida +414 other locations,4.9k Reviews,13k Salaries,235 Interviews,11 Jobs,643 Benefits,3 Photos
140,Atos,3.8,IT Services & Consulting | Pune +49 other locations,4.9k Reviews,34k Salaries,405 Interviews,90 Jobs,456 Benefits,10 Photos
141,Ecom Express,4.0,Logistics | Gurgaon / Gurugram +775 other locations,4.8k Reviews,9.6k Salaries,263 Interviews,-- Jobs,323 Benefits,39 Photos
142,Eviden,3.6,IT Services & Consulting | Pune +39 other locations,4.8k Reviews,27.9k Salaries,316 Interviews,8 Jobs,1 Benefits,11 Photos
143,KEC International,4.0,Engineering & Construction | Mumbai +314 other locations,4.8k Reviews,13.2k Salaries,415 Interviews,9 Jobs,441 Benefits,54 Photos
144,Amdocs,3.6,Software Product | Pune +23 other locations,4.8k Reviews,37.2k Salaries,559 Interviews,11 Jobs,614 Benefits,20 Photos
145,JBM Group,3.9,Auto Components | Gurgaon / Gurugram +117 other locations,4.7k Reviews,13.9k Salaries,345 Interviews,58 Jobs,342 Benefits,21 Photos
146,Nagarro,3.9,IT Services & Consulting | Gurgaon / Gurugram +49 other locations,4.7k Reviews,32.4k Salaries,829 Interviews,927 Jobs,1.1k Benefits,19 Photos
147,Varun Beverages,4.0,Beverage | New Delhi +379 other locations,4.7k Reviews,11.8k Salaries,344 Interviews,34 Jobs,321 Benefits,31 Photos
148,ITC Infotech,3.7,IT Services & Consulting | Bangalore / Bengaluru +67 other locations,4.7k Reviews,29.5k Salaries,411 Interviews,70 Jobs,281 Benefits,11 Photos
149,Bosch,4.1,Auto Components | Bangalore / Bengaluru +131 other locations,4.6k Reviews,20.7k Salaries,375 Interviews,-- Jobs,599 Benefits,18 Photos
150,Home Credit Finance,4.0,NBFC | Gurgaon / Gurugram +136 other locations,4.6k Reviews,9.4k Salaries,146 Interviews,91 Jobs,629 Benefits,6 Photos
151,Randstad,3.7,Recruitment | Hyderabad / Secunderabad +352 other locations,4.6k Reviews,16.4k Salaries,326 Interviews,8 Jobs,342 Benefits,7 Photos
152,EY Global Delivery Services ( EY GDS),3.5,IT Services & Consulting | Bangalore / Bengaluru +56 other locations,4.5k Reviews,48.8k Salaries,878 Interviews,12 Jobs,146 Benefits,16 Photos
153,Hewlett Packard Enterprise,4.1,IT Services & Consulting | Bangalore / Bengaluru +104 other locations,4.5k Reviews,27k Salaries,266 Interviews,233 Jobs,546 Benefits,18 Photos
154,Utkarsh Small Finance Bank,3.6,Banking | Varanasi +408 other locations,4.5k Reviews,10.8k Salaries,298 Interviews,24 Jobs,270 Benefits,50 Photos
155,Mahindra Logistics,3.7,Logistics | Mumbai +233 other locations,4.5k Reviews,12.9k Salaries,251 Interviews,-- Jobs,445 Benefits,24 Photos
156,Aditya Birla Fashion and Retail,4.1,Fashion & Textile | Bangalore / Bengaluru +291 other locations,4.5k Reviews,13.1k Salaries,264 Interviews,77 Jobs,391 Benefits,14 Photos
157,L&T Finance,3.9,NBFC | Mumbai +634 other locations,4.5k Reviews,11.7k Salaries,216 Interviews,-- Jobs,261 Benefits,34 Photos
158,Dell,3.8,Consumer Electronics & Appliances | Bangalore / Bengaluru +117 other locations,4.5k Reviews,28.7k Salaries,423 Interviews,17 Jobs,540 Benefits,25 Photos
159,CARS24,3.4,Internet | Gurgaon / Gurugram +172 other locations,4.5k Reviews,15.4k Salaries,404 Interviews,111 Jobs,410 Benefits,17 Photos
160,Havells,3.9,Electrical Equipment | Noida +261 other locations,4.5k Reviews,15.6k Salaries,286 Interviews,34 Jobs,315 Benefits,9 Photos
161,OPPO,3.9,Consumer Electronics & Appliances | Greater Noida +410 other locations,4.5k Reviews,11.8k Salaries,248 Interviews,7 Jobs,602 Benefits,10 Photos
162,Intas Pharmaceuticals,4.1,Pharma | Ahmedabad +148 other locations,4.4k Reviews,17.4k Salaries,259 Interviews,61 Jobs,362 Benefits,9 Photos
163,R1 RCM,3.8,BPO | New Delhi +46 other locations,4.4k Reviews,21.3k Salaries,356 Interviews,164 Jobs,334 Benefits,23 Photos
164,Hyundai Motor India Limited,4.1,Automobile | Chennai +287 other locations,4.4k Reviews,13.9k Salaries,321 Interviews,5 Jobs,518 Benefits,31 Photos
165,Tata AIA Life Insurance,3.9,Insurance | Mumbai +441 other locations,4.4k Reviews,14.1k Salaries,249 Interviews,640 Jobs,297 Benefits,23 Photos
166,Deutsche Bank,3.8,Banking | Pune +42 other locations,4.3k Reviews,36.1k Salaries,418 Interviews,372 Jobs,399 Benefits,79 Photos
167,Hetero,3.9,Pharma | Hyderabad / Secunderabad +68 other locations,4.3k Reviews,15.1k Salaries,297 Interviews,146 Jobs,332 Benefits,13 Photos
168,Motilal Oswal Financial Services,3.7,Financial Services | Mumbai +168 other locations,4.3k Reviews,12.9k Salaries,540 Interviews,42 Jobs,167 Benefits,90 Photos
169,Berger Paints,3.7,Chemicals | Kolkata +354 other locations,4.3k Reviews,10k Salaries,424 Interviews,133 Jobs,273 Benefits,6 Photos
170,Team Lease,3.9,Recruitment | Bangalore / Bengaluru +399 other locations,4.3k Reviews,16k Salaries,248 Interviews,2 Jobs,215 Benefits,6 Photos
