name,industry,ratings,reviews,salaries,interviews,jobs,benefits,photos,hq,more_locations
Flipkart Health+,Internet,3.5,432.0,160000.0,28.0,0.0,31.0,2.0,Kolkata,37
SoftwareOne,Software Product,3.7,431.0,360000.0,51.0,34.0,47.0,3.0,Gurgaon / Gurugram,18
CWT,Travel & Tourism,3.4,431.0,150000.0,8.0,0.0,54.0,0.0,New Delhi,13
CWT,Travel & Tourism,3.4,431.0,150000.0,8.0,0.0,54.0,0.0,New Delhi,13
Head Field Solutions,Recruitment,4.1,431.0,120000.0,66.0,3.0,21.0,1.0,Noida,6
Speridian Technologies,IT Services & Consulting,3.4,431.0,310000.0,50.0,17.0,21.0,0.0,Bangalore / Bengaluru,20
Alankit,Financial Services,3.3,431.0,120000.0,47.0,23.0,21.0,4.0,New Delhi,39
Powerweave,BPO,3.3,430.0,170000.0,28.0,2.0,34.0,0.0,Mumbai,8
Reliance Capital,Financial Services,3.9,430.0,190000.0,20.0,2.0,75.0,0.0,Mumbai,87
Pocket FM,Media & Entertainment,2.7,430.0,180000.0,66.0,13.0,5.0,3.0,Bangalore / Bengaluru,17
Ashapura Group Of Industries,Metals & Mining,4.0,430.0,170000.0,30.0,2.0,43.0,5.0,Bhuj,30
Kothari Agritech,Building Material,4.2,430.0,69900000.0,47.0,6.0,8.0,21.0,Solapur,124
Allegis Group,Recruitment,3.6,432.0,270000.0,23.0,0.0,42.0,9.0,Bangalore / Bengaluru,13
Zscaler Softech,Software Product,3.3,430.0,300000.0,83.0,119.0,34.0,0.0,Bangalore / Bengaluru,14
TresVista,Analytics & KPO,2.5,429.0,290000.0,128.0,33.0,13.0,2.0,Pune,11
Brembo Brake India,Auto Components,4.1,430.0,150000.0,20.0,0.0,36.0,0.0,Pune,16
Bengal Beverages,Beverage,3.1,429.0,140000.0,35.0,0.0,30.0,0.0,Kolkata,14
Cimpress,Printing & Publishing,3.8,430.0,280000.0,70.0,3.0,37.0,0.0,Mumbai,9
Le Méridien,Hospitality,4.2,429.0,110000.00000000001,22.0,0.0,63.0,0.0,New Delhi,27
Educomp Solutions,EdTech,3.5,428.0,64800000.0,5.0,5.0,49.0,0.0,Gurgaon / Gurugram,112
Infovision,IT Services & Consulting,3.5,428.0,390000.0,41.0,66.0,3.0,37.0,Pune,12
360 Realtors,Real Estate,3.6,428.0,150000.0,36.0,3.0,47.0,0.0,Pune,26
Dee Piping System,Engineering & Construction,4.1,428.0,160000.0,28.0,6.0,23.0,0.0,Faridabad,21
Godrej Jersey,Food Processing,4.1,425.0,120000.0,25.0,0.0,2.0,0.0,Hyderabad / Secunderabad,44
Neilsoft,Engineering & Construction,3.1,427.0,290000.0,46.0,18.0,26.0,7.0,Pune,11
NTPC GE Power Services,Power,3.9,427.0,150000.0,52.0,0.0,24.0,2.0,Jharsuguda,27
Knack Global,BPO,3.1,427.0,170000.0,51.0,8.0,18.0,1.0,Jaipur,12
Realty Assistant,Real Estate,3.6,429.0,61400000.0,51.0,3.0,78.0,47.0,Noida,17
Mashreq Global Services,Financial Services,3.1,426.0,240000.0,29.0,88.0,33.0,3.0,Bangalore / Bengaluru,10
Sunwoda Electronic India Pvt Ltd,Electronics Manufacturing,3.9,426.0,190000.0,40.0,0.0,40.0,0.0,Noida,8
Orion Innovation,IT Services & Consulting,3.5,427.0,350000.0,45.0,2.0,13.0,7.0,Chennai,12
TruBridge Healthcare Private Limited,Analytics & KPO,4.0,426.0,58800000.0,146.0,11.0,4.0,0.0,Mumbai,5
Spoton Logistics,Logistics,4.4,425.0,110000.00000000001,18.0,0.0,59.0,0.0,Bangalore / Bengaluru,72
IIMI Image Management Private Limited,BPO,4.1,425.0,54500000.0,56.0,0.0,7.0,7.0,Kolkata,5
Meyer Organics,Pharma,3.7,425.0,150000.0,29.0,12.0,35.0,5.0,Mumbai,71
AQM Technologies,IT Services & Consulting,3.3,425.0,330000.0,52.0,13.0,20.0,0.0,Mumbai,13
Chettinad Cements,Building Material,3.9,425.0,190000.0,38.0,1.0,21.0,0.0,Chennai,62
Confidence Petroleum India,Oil & Gas,2.9,426.0,160000.0,32.0,22.0,13.0,2.0,Nagpur,51
Entrata,Software Product,3.8,424.0,229999.99999999997,41.0,8.0,50.0,8.0,Pune,5
Polestar Analytics,IT Services & Consulting,4.1,424.0,120000.0,23.0,37.0,58.0,0.0,Noida,9
Rieter,Industrial Machinery,3.5,424.0,229999.99999999997,30.0,7.0,48.0,2.0,Pune,15
Regency Hospital Ltd,Healthcare,4.1,424.0,130000.0,23.0,10.0,24.0,1.0,Kanpur,16
Cipla Health,Pharma,4.1,423.0,130000.0,39.0,0.0,31.0,0.0,Mumbai,86
ARMSOFTECH.AIR,IT Services & Consulting,3.3,423.0,130000.0,28.0,0.0,54.0,13.0,Chennai,16
KLAY Preschool and Daycare,Bangalore / Bengaluru +18 other locations,3.6,426.0,140000.0,45.0,229.0,43.0,4.0,,0
Ozone Overseas,Building Material,3.9,425.0,140000.0,33.0,10.0,34.0,5.0,New Delhi,57
Rakuten Symphony,Telecom,3.5,424.0,360000.0,42.0,14.0,12.0,32.0,Indore,9
Falcon Autotech,Industrial Automation,3.9,424.0,180000.0,52.0,1.0,39.0,36.0,Noida,16
Capital Foods,Food Processing,4.2,425.0,130000.0,31.0,0.0,57.0,0.0,Mumbai,73
Paynearby Technologies,FinTech,4.0,423.0,140000.0,27.0,0.0,23.0,0.0,Mumbai,119
Freecharge,FinTech,3.8,424.0,270000.0,64.0,16.0,17.0,5.0,Gurgaon / Gurugram,61
Samsung C&T,Engineering & Construction,4.3,420.0,130000.0,14.0,0.0,49.0,0.0,Mumbai,28
SBI Capital Markets,Financial Services,3.6,423.0,210000.0,23.0,0.0,17.0,7.0,Mumbai,126
Tata BlueScope Steel,Iron & Steel,3.6,423.0,150000.0,32.0,0.0,33.0,6.0,Jamshedpur,37
Dodsal Engineering & Construction,Engineering & Construction,4.5,423.0,68400000.0,16.0,0.0,71.0,0.0,Mumbai,37
Bada Business,Internet,3.6,423.0,160000.0,28.0,541.0,39.0,4.0,New Delhi,54
ABCI Infrastructures,Engineering & Construction,3.4,423.0,600000.0,71.0,5.0,54.0,0.0,Bangalore / Bengaluru,55
Honeywell International India,Defence & Aerospace,3.9,423.0,250000.0,38.0,0.0,50.0,0.0,Pune,23
Ind-Swift Laboratories,Pharma,3.8,422.0,160000.0,20.0,0.0,56.0,0.0,Chandigarh,26
NOON.COM,Internet,3.3,423.0,260000.0,56.0,0.0,31.0,0.0,Gurgaon / Gurugram,24
Tata Steel Downstream Products,Iron & Steel,3.6,422.0,140000.0,41.0,0.0,24.0,3.0,Jamshedpur,38
Bhagwati Products,Consumer Electronics & Appliances,3.6,423.0,110000.00000000001,19.0,0.0,33.0,0.0,Noida,19
Kutchina,Consumer Electronics & Appliances,3.4,422.0,120000.0,15.0,3.0,26.0,0.0,Kolkata,66
Midland Microfin Limited,NBFC,3.5,422.0,89300000.0,35.0,0.0,14.0,26.0,Jalandhar,126
Konexions Back Office Services,BPO,2.7,423.0,160000.0,34.0,5.0,13.0,0.0,New Delhi,19
Ami Lifesciences,Pharma,3.8,422.0,170000.0,21.0,0.0,22.0,10.0,Vadodara,10
Tata Steel Utilities and Infrastructure Services,Engineering & Construction,3.7,420.0,120000.0,39.0,0.0,40.0,0.0,Jamshedpur,18
The Indian Hotels Company,Hospitality,4.1,421.0,170000.0,29.0,0.0,39.0,2.0,Mumbai,54
Vcare Trichology,Healthcare,3.6,421.0,180000.0,44.0,24.0,17.0,4.0,Chennai,61
Anunta Technology Management Services,IT Services & Consulting,3.5,421.0,210000.0,39.0,7.0,26.0,10.0,Mumbai,20
Medica Superspecialty Hospital,Healthcare,3.8,420.0,150000.0,20.0,117.0,48.0,0.0,Kolkata,18
Nexteer Automotive,Auto Components,3.8,420.0,260000.0,27.0,0.0,30.0,1.0,Bangalore / Bengaluru,11
Mahindra Lifespace Developers,Real Estate,4.1,420.0,170000.0,25.0,10.0,47.0,2.0,Mumbai,24
Siyaram Silk Mills,Fashion & Textile,4.0,420.0,150000.0,22.0,11.0,43.0,0.0,Mumbai,38
Talbros,Auto Components,3.8,420.0,170000.0,30.0,1.0,32.0,0.0,Faridabad,25
B.C. Jindal Group of Companies,Iron & Steel,3.9,420.0,110000.00000000001,29.0,0.0,15.0,0.0,New Delhi,32
Lambda Therapeutic Research,Clinical Research,4.0,419.0,140000.0,19.0,27.0,23.0,6.0,Ahmedabad,8
Mazagon Dock,Ports & Shipping,4.2,421.0,120000.0,21.0,0.0,34.0,0.0,Mumbai,10
National Bulk Handling Corporation,Agriculture,4.1,419.0,110000.00000000001,22.0,15.0,43.0,0.0,Mumbai,76
Bonfiglioli Transmissions Limited,Industrial Machinery,3.5,419.0,170000.0,37.0,7.0,34.0,1.0,Chennai,23
LKQ INDIA,IT Services & Consulting,3.4,420.0,229999.99999999997,38.0,5.0,26.0,7.0,Bangalore / Bengaluru,5
Freyr Solutions,IT Services & Consulting,3.7,419.0,270000.0,32.0,12.0,20.0,0.0,Hyderabad / Secunderabad,8
Fossil Group,Fashion & Textile,3.8,419.0,200000.0,32.0,8.0,32.0,2.0,Bangalore / Bengaluru,39
FM LOGISTIC,Logistics,4.0,419.0,130000.0,30.0,11.0,12.0,2.0,Pune,37
Premium Transmission,Industrial Machinery,3.4,418.0,190000.0,51.0,2.0,35.0,7.0,Pune,17
Citykart Retail,Retail,3.7,418.0,94100000.0,26.0,4.0,28.0,3.0,New Delhi,71
Havmor Ice Cream,Food Processing,4.1,418.0,120000.0,30.0,4.0,44.0,1.0,Ahmedabad,69
Calsoft,IT Services & Consulting,2.7,418.0,360000.0,55.0,77.0,29.0,6.0,Pune,6
Flatworld Solutions,IT Services & Consulting,3.5,418.0,280000.0,31.0,19.0,40.0,0.0,Bangalore / Bengaluru,10
Secure Value,IT Services & Consulting,3.3,418.0,92000000.0,20.0,0.0,23.0,0.0,Mumbai,83
Dun & Bradstreet,Analytics & KPO,3.1,417.0,290000.0,42.0,15.0,46.0,12.0,Mumbai,16
Eurofins It Solutions,IT Services & Consulting,3.0,417.0,340000.0,66.0,1.0,58.0,1.0,Bangalore / Bengaluru,6
Mungi Group,Auto Components,3.9,417.0,180000.0,24.0,0.0,34.0,6.0,Pune,14
Nettur Technical Training Foundation,Education & Training,3.6,416.0,120000.0,27.0,5.0,36.0,5.0,Bangalore / Bengaluru,45
Ramada,Hospitality,3.9,416.0,100000.0,20.0,0.0,67.0,0.0,Mumbai,57
Western Union,FinTech,2.9,416.0,260000.0,39.0,2.0,40.0,10.0,Pune,18
RSWM,Fashion & Textile,4.1,416.0,120000.0,19.0,4.0,46.0,0.0,Bhilwara,30
InfoBeans,IT Services & Consulting,3.4,416.0,360000.0,45.0,50.0,40.0,10.0,Indore,7
Welspun Transformation Services Limited,IT Services & Consulting,3.9,416.0,75000000.0,47.0,0.0,9.0,21.0,Ahmedabad,11
Tally Solutions,Software Product,4.0,415.0,229999.99999999997,48.0,6.0,49.0,8.0,Bangalore / Bengaluru,67
Magus Customer Dialog,BPO,3.7,415.0,80400000.0,12.0,0.0,43.0,0.0,Hyderabad / Secunderabad,18
National Organic Chemical Industries,Chemicals,3.8,415.0,180000.0,33.0,5.0,44.0,0.0,Bharuch,13
Theobroma Foods,Food Processing,3.9,415.0,130000.0,25.0,47.0,23.0,0.0,Mumbai,33
Flipkart Wholesale,Internet,3.8,415.0,100000.0,68.0,0.0,25.0,1.0,Bangalore / Bengaluru,58
Chambal Fertilisers And Chemicals,Agro Chemicals,3.8,415.0,150000.0,29.0,0.0,35.0,2.0,Kota,53
Indian Political Action Committee,Other,2.9,415.0,180000.0,50.0,0.0,14.0,0.0,Kolkata,20
TTK Healthcare,Healthcare,4.1,414.0,130000.0,18.0,8.0,53.0,1.0,Chennai,77
Pole To Win,Gaming,3.3,414.0,200000.0,61.0,5.0,44.0,1.0,Bangalore / Bengaluru,9
Tagros Chemicals,Agro Chemicals,3.6,414.0,180000.0,40.0,0.0,42.0,0.0,Cuddalore,13
Avalara Technologies,Software Product,3.1,414.0,310000.0,74.0,29.0,25.0,17.0,Pune,6
India Nippon Electricals,Electrical Equipment,3.8,414.0,150000.0,23.0,3.0,55.0,0.0,Hosur,26
Baramati Agro,Food Processing,3.8,414.0,150000.0,28.0,1.0,28.0,1.0,Pune,49
Recpdcl.ltd,Facility Management Services,4.0,413.0,78700000.0,17.0,0.0,44.0,0.0,New Delhi,68
YKK,Fashion & Textile,3.8,413.0,130000.0,25.0,0.0,48.0,1.0,Rewari,26
Aliens Group,Real Estate,4.0,413.0,130000.0,45.0,13.0,59.0,1.0,Hyderabad / Secunderabad,6
Fitelo,Fitness & Wellness,3.4,413.0,71100000.0,48.0,0.0,71.0,13.0,Mohali,14
OnePlus,Consumer Electronics & Appliances,3.7,413.0,190000.0,35.0,0.0,43.0,2.0,Bangalore / Bengaluru,57
Black Knight,IT Services & Consulting,3.6,412.0,270000.0,29.0,0.0,44.0,0.0,Hyderabad / Secunderabad,4
Groupon,Internet,3.2,412.0,229999.99999999997,45.0,5.0,37.0,29.0,Chennai,10
Ingersoll Rand,Industrial Machinery,3.9,412.0,240000.0,36.0,11.0,38.0,6.0,Bangalore / Bengaluru,29
Arvind Fashions,Fashion & Textile,3.8,413.0,180000.0,22.0,0.0,22.0,4.0,Bangalore / Bengaluru,60
Capital Trust,NBFC,3.3,412.0,86300000.0,22.0,0.0,30.0,3.0,New Delhi,123
Tyger Capital,NBFC,4.0,412.0,130000.0,29.0,9.0,23.0,0.0,Mumbai,118
Ingersoll Rand,Industrial Machinery,3.9,412.0,240000.0,36.0,11.0,38.0,6.0,Bangalore / Bengaluru,29
Al Turki Enterprises,Oil & Gas,3.6,411.0,96300000.0,16.0,0.0,50.0,1.0,Muscat,15
IMS People,Recruitment,3.5,412.0,220000.00000000003,41.0,0.0,37.0,0.0,Ahmedabad,27
ArisGlobal,IT Services & Consulting,2.9,411.0,300000.0,42.0,3.0,10.0,0.0,Bangalore / Bengaluru,9
Ensono,IT Services & Consulting,4.1,411.0,240000.0,31.0,88.0,22.0,4.0,Pune,10
Bmm Ispat,Iron & Steel,3.9,411.0,150000.0,35.0,0.0,34.0,0.0,Hosapete,14
Aculife Healthcare,Pharma,3.0,411.0,150000.0,32.0,4.0,31.0,0.0,Ahmedabad,35
Aka Logistics,Logistics,3.2,411.0,140000.0,36.0,2.0,27.0,0.0,Kolkata,39
International Automotive Components,Auto Components,3.9,411.0,190000.0,25.0,0.0,25.0,15.0,Pune,17
Adani Logistics,Logistics,3.7,411.0,170000.0,16.0,0.0,12.0,2.0,Ahmedabad,71
A. O. Smith India Water Products Private Limited,Consumer Electronics & Appliances,3.9,411.0,130000.0,21.0,7.0,43.0,2.0,Bangalore / Bengaluru,50
e2open,Software Product,3.6,412.0,350000.0,62.0,0.0,34.0,10.0,Bangalore / Bengaluru,16
Impact Guru,Internet,3.6,411.0,150000.0,50.0,17.0,7.0,3.0,Mumbai,22
FCm Travel Solutions,Travel & Tourism,3.2,410.0,160000.0,13.0,6.0,27.0,0.0,New Delhi,23
Asian Granito India,Building Material,3.5,412.0,150000.0,15.0,2.0,20.0,3.0,Ahmedabad,66
Prolifics Corporation,IT Services & Consulting,3.6,410.0,240000.0,64.0,9.0,25.0,4.0,Hyderabad / Secunderabad,6
Orient Bell,Building Material,3.3,410.0,150000.0,22.0,2.0,37.0,0.0,New Delhi,72
Uniparts Group,Industrial Machinery,3.6,410.0,150000.0,21.0,10.0,30.0,0.0,Noida,14
Win Medicare,Pharma,4.2,410.0,95500000.0,24.0,0.0,33.0,0.0,New Delhi,63
NIFTEL COMMUNICATIONS,BPO,3.9,410.0,70900000.0,90.0,8.0,8.0,0.0,Lucknow,13
Spice Money,FinTech,4.1,408.0,150000.0,35.0,3.0,23.0,7.0,Noida,108
Tessolve,Semiconductors,3.3,409.0,270000.0,61.0,155.0,15.0,13.0,Bangalore / Bengaluru,12
Tao Digital,IT Services & Consulting,3.6,409.0,120000.0,112.0,7.0,0.0,4.0,Hyderabad / Secunderabad,8
Novartis Healthcare,Pharma,4.1,409.0,310000.0,22.0,8.0,45.0,0.0,Hyderabad / Secunderabad,26
Intercontinental Exchange,Financial Services,3.1,410.0,250000.0,43.0,0.0,6.0,0.0,Hyderabad / Secunderabad,7
Imarticus Learning,EdTech,3.9,409.0,120000.0,30.0,8.0,29.0,4.0,Mumbai,24
Nous Infosystems,IT Services & Consulting,3.6,410.0,330000.0,48.0,21.0,37.0,0.0,Bangalore / Bengaluru,8
Agro Tech Foods,FMCG,4.0,409.0,120000.0,21.0,0.0,35.0,0.0,Hyderabad / Secunderabad,77
NeoGrowth Credit,NBFC,3.0,410.0,170000.0,25.0,4.0,26.0,0.0,Mumbai,31
Roca Bathroom Products,Building Material,3.7,409.0,140000.0,22.0,0.0,39.0,3.0,Chennai,58
Fortis Escorts Hospital,Healthcare,4.2,408.0,93800000.0,21.0,0.0,33.0,1.0,New Delhi,16
Samsonite,Retail,4.1,408.0,140000.0,16.0,9.0,28.0,0.0,Nashik,61
Bonace Engineers,Recruitment,4.0,408.0,120000.0,34.0,0.0,27.0,0.0,Mumbai,56
PC Jewellers,Metals & Mining,3.8,408.0,94500000.0,19.0,4.0,30.0,0.0,New Delhi,73
Carrier Midea,Consumer Electronics & Appliances,3.6,408.0,170000.0,19.0,0.0,22.0,0.0,Pune,51
Mann And Hummel Filter,Industrial Machinery,3.9,408.0,170000.0,19.0,5.0,38.0,9.0,Bangalore / Bengaluru,20
Aizant Drug Research Solutions,Clinical Research,3.9,408.0,120000.0,19.0,10.0,29.0,0.0,Hyderabad / Secunderabad,4
Silver Touch Technologies,IT Services & Consulting,3.2,407.0,250000.0,32.0,14.0,9.0,0.0,New Delhi,40
Qwik Supply Chain,Mumbai +140 other locations,3.8,406.0,110000.00000000001,28.0,0.0,16.0,3.0,,0
Bangalore International Airport,Aviation,4.3,407.0,150000.0,35.0,10.0,36.0,0.0,Bangalore / Bengaluru,15
Bangalore International Airport,Aviation,4.3,407.0,150000.0,35.0,10.0,36.0,0.0,Bangalore / Bengaluru,15
Yutika Natural,Beauty & Personal Care,3.4,406.0,91800000.0,23.0,7.0,1.0,0.0,Indore,67
DataMetica,IT Services & Consulting,3.2,406.0,280000.0,47.0,20.0,20.0,0.0,Pune,6
Pon Pure Chemical,Chemicals,3.5,407.0,140000.0,23.0,25.0,31.0,0.0,Chennai,42
Larsen & Toubro Group,Engineering & Construction,4.1,406.0,100000.0,96.0,0.0,48.0,0.0,Chennai,75
Essar Group,Engineering & Construction,3.7,406.0,180000.0,33.0,0.0,49.0,0.0,Mumbai,45
Raptakos Brett and Company,Pharma,3.4,406.0,140000.0,23.0,6.0,25.0,0.0,Mumbai,63
Lotte India Corporation,FMCG,4.0,407.0,130000.0,31.0,5.0,33.0,0.0,Chennai,85
Haldia Petrochemicals,Petrochemicals,3.8,406.0,190000.0,40.0,3.0,46.0,3.0,Haldia,15
CogentHubCX.AI,BPO,3.3,407.0,80100000.0,34.0,38.0,18.0,0.0,Kolkata,9
Clean Harbors,Waste Management,3.3,406.0,260000.0,34.0,24.0,25.0,5.0,Hyderabad / Secunderabad,3
Odessa,Software Product,3.7,405.0,240000.0,46.0,0.0,52.0,15.0,Bangalore / Bengaluru,3
TCL,Consumer Electronics & Appliances,4.0,405.0,200000.0,42.0,0.0,24.0,0.0,Tirupati,51
Indian Institute of Technology Gandhinagar,Education & Training,4.1,406.0,240000.0,24.0,3.0,31.0,0.0,New Delhi,43
Oberoi Realty,Real Estate,4.3,406.0,190000.0,21.0,30.0,37.0,4.0,Mumbai,11
Systems Plus,IT Services & Consulting,4.3,405.0,150000.0,32.0,49.0,15.0,0.0,Pune,11
ABC Consultants,Recruitment,3.9,405.0,2570000.0,239.0,1.0,23.0,0.0,Bangalore / Bengaluru,27
Global Indian International School,Education & Training,4.1,405.0,100000.0,19.0,58.0,53.0,0.0,Noida,23
Virchow Biotech,Pharma,3.4,405.0,170000.0,25.0,0.0,35.0,0.0,Hyderabad / Secunderabad,12
Metrochem Api,Pharma,3.1,405.0,180000.0,32.0,3.0,33.0,8.0,Hyderabad / Secunderabad,13
Metrochem Api,Pharma,3.1,405.0,180000.0,32.0,3.0,33.0,8.0,Hyderabad / Secunderabad,13
P.D. Hinduja National Hospital and Medical Research Centre,Healthcare,3.8,405.0,229999.99999999997,27.0,25.0,43.0,6.0,Mumbai,13
Schoolnet India,EdTech,4.0,410.0,110000.00000000001,23.0,16.0,56.0,0.0,Mumbai,91
Buhler,Industrial Machinery,3.9,404.0,180000.0,33.0,0.0,37.0,0.0,Bangalore / Bengaluru,28
Penna Cement Industries,Building Material,4.1,404.0,150000.0,13.0,0.0,32.0,0.0,Hyderabad / Secunderabad,47
Nidec Corporation,Electronics Manufacturing,3.7,405.0,160000.0,25.0,2.0,37.0,0.0,Neemrana,26
Marksans Pharma,Pharma,3.4,404.0,160000.0,28.0,1.0,18.0,1.0,Goa,24
Eversendai,Engineering & Construction,3.6,404.0,150000.0,32.0,2.0,43.0,4.0,Chennai,19
L&T Heavy Engineering,Surat +25 other locations,3.9,404.0,79500000.0,31.0,0.0,32.0,11.0,,0
ICFAI University,Education & Training,3.7,403.0,86700000.0,23.0,1.0,45.0,0.0,Hyderabad / Secunderabad,57
Indus Net Technologies,IT Services & Consulting,3.2,403.0,200000.0,35.0,0.0,20.0,0.0,Kolkata,7
Pearson Education India,Education & Training,4.0,403.0,170000.0,9.0,30.0,50.0,0.0,Bangalore / Bengaluru,58
HealthKart,Internet,3.8,403.0,200000.0,30.0,19.0,37.0,10.0,Gurgaon / Gurugram,38
Hero Housing Finance,NBFC,3.9,403.0,150000.0,23.0,5.0,10.0,10.0,New Delhi,92
Apex Laboratories,Pharma,3.9,403.0,180000.0,24.0,1.0,32.0,2.0,Chennai,61
Roop Automotives,Auto Components,4.2,403.0,130000.0,30.0,0.0,45.0,3.0,Gurgaon / Gurugram,14
Sterling Tools,Auto Components,3.9,403.0,110000.00000000001,43.0,0.0,31.0,8.0,Faridabad,13
Zealous Services,Design,2.7,403.0,110000.00000000001,22.0,1.0,50.0,1.0,Chennai,9
Venus Remedies,Pharma,4.3,403.0,99500000.0,42.0,31.0,87.0,21.0,Baddi,39
Desun Hospital & Heart Institute,Healthcare,3.8,403.0,100000.0,28.0,9.0,22.0,1.0,Kolkata,12
Echobooom Management & Entrepreneurial Solutions,Marketing & Advertising,3.7,403.0,46900000.0,105.0,50.0,187.0,1.0,Mumbai,19
Accel Frontline,IT Services & Consulting,4.3,402.0,75200000.0,7.0,0.0,44.0,0.0,Chennai,55
MAYORA,FMCG,3.8,399.0,93600000.0,22.0,2.0,43.0,0.0,Hyderabad / Secunderabad,86
UNIVO Education,EdTech,3.4,402.0,140000.0,31.0,1.0,3.0,16.0,Noida,9
Axis Finance,NBFC,3.7,402.0,200000.0,24.0,10.0,16.0,0.0,Mumbai,81
SHARE Microfin,Financial Services,4.2,402.0,56200000.0,22.0,0.0,40.0,1.0,Hyderabad / Secunderabad,135
Franchise India Brands,Marketing & Advertising,3.2,402.0,140000.0,42.0,7.0,9.0,7.0,New Delhi,30
Hexagon Nutrition,Food Processing,4.1,401.0,100000.0,17.0,17.0,136.0,0.0,Mumbai,30
RCM,Retail,4.1,382.0,64000000.0,50.0,4.0,7.0,11.0,Bhilwara,46
State Street Bank,Banking,3.5,401.0,300000.0,18.0,0.0,11.0,0.0,Bangalore / Bengaluru,17
Shyam Sel & Power,Electronics Manufacturing,3.7,401.0,140000.0,57.0,0.0,24.0,0.0,Kolkata,24
Karvy DigiKonnect,Financial Services,3.1,400.0,130000.0,7.0,0.0,29.0,0.0,Hyderabad / Secunderabad,20
Vision India Services,Recruitment,3.8,400.0,140000.0,40.0,0.0,22.0,0.0,Noida,99
GE Vernova T&D India,Power,4.2,400.0,160000.0,9.0,0.0,42.0,0.0,Chennai,38
Ipsos,Analytics & KPO,3.2,400.0,240000.0,42.0,15.0,22.0,0.0,Mumbai,27
Saama Technologies,IT Services & Consulting,3.7,400.0,350000.0,59.0,16.0,44.0,4.0,Pune,7
myGate,Law Enforcement & Security,3.0,401.0,220000.00000000003,31.0,4.0,22.0,4.0,Bangalore / Bengaluru,20
Motilal Oswal Private Wealth Management,Financial Services,4.5,399.0,26900000.0,80.0,0.0,2.0,5.0,Mumbai,26
Oda Class,EdTech,3.0,399.0,64500000.0,27.0,0.0,6.0,2.0,Bangalore / Bengaluru,7
Bank of Maharashtra,Banking,3.2,399.0,140000.0,18.0,0.0,32.0,0.0,Pune,77
Astra Microwave Products,Defence & Aerospace,3.9,399.0,200000.0,32.0,2.0,27.0,0.0,Hyderabad / Secunderabad,14
Gtpl Hathway,Broadcasting,4.0,399.0,180000.0,28.0,9.0,21.0,0.0,Ahmedabad,50
Owens Corning,Building Material,3.6,399.0,170000.0,20.0,1.0,38.0,0.0,Mumbai,12
Stanley Black & Decker,Pune +28 other locations,3.7,399.0,180000.0,27.0,33.0,29.0,2.0,,0
Shiprocket Private Limited,Internet,3.4,399.0,260000.0,58.0,52.0,17.0,14.0,Gurgaon / Gurugram,14
ITC Limited - Paperboards Specialty Papers Division,Packaging,3.8,398.0,150000.0,18.0,0.0,38.0,0.0,Bhadrachalam,18
Sagar Cements,Building Material,4.3,398.0,130000.0,38.0,2.0,26.0,7.0,Hyderabad / Secunderabad,44
AppInventiv Technologies,IT Services & Consulting,3.8,398.0,260000.0,78.0,26.0,65.0,14.0,Noida,11
Onsitego,Internet,3.8,399.0,130000.0,19.0,35.0,30.0,0.0,Mumbai,31
Etech Global Services,BPO,3.7,397.0,170000.0,44.0,13.0,43.0,0.0,Gandhinagar,11
Piramal Swasthya,Hyderabad / Secunderabad +62 other locations,4.0,397.0,96200000.0,21.0,3.0,36.0,1.0,,0
Amri Hospital,Healthcare,4.0,397.0,120000.0,27.0,0.0,37.0,2.0,Kolkata,11
GRT Jewellers,Jewellery,4.1,397.0,150000.0,30.0,9.0,18.0,6.0,Chennai,36
Indian Space Research Organisation,Defence & Aerospace,4.6,398.0,130000.0,24.0,0.0,38.0,3.0,Bangalore / Bengaluru,33
Kanpur Fertilizers & Chemicals,Agro Chemicals,3.6,397.0,120000.0,35.0,0.0,17.0,0.0,Kanpur,34
Tutopia,EdTech,4.5,394.0,39100000.0,211.0,0.0,2.0,0.0,Kolkata,5
Ashiana Housing,Real Estate,4.0,396.0,150000.0,33.0,31.0,46.0,1.0,Jaipur,19
Venkateshwara Hatcheries,Food Processing,3.7,396.0,140000.0,11.0,0.0,33.0,1.0,Pune,58
Copeland,Electronics Manufacturing,3.9,396.0,220000.00000000003,25.0,101.0,1.0,1.0,Pune,25
Broadcom,Semiconductors,3.4,396.0,300000.0,44.0,13.0,36.0,8.0,Bangalore / Bengaluru,13
Samsung SDS,IT Services & Consulting,3.0,396.0,260000.0,30.0,0.0,18.0,0.0,Gurgaon / Gurugram,22
Himatsingka Seide,Fashion & Textile,3.5,396.0,150000.0,29.0,3.0,35.0,0.0,Bangalore / Bengaluru,16
Accelya Solutions India Limited,IT Services & Consulting,3.4,396.0,260000.0,50.0,39.0,30.0,0.0,Mumbai,12
Welspun Flooring,Building Material,3.8,396.0,120000.0,21.0,0.0,26.0,4.0,Hyderabad / Secunderabad,27
Skillmine Technology Consulting,Software Product,3.9,396.0,150000.0,42.0,2.0,15.0,11.0,Bangalore / Bengaluru,14
Scientific Publishing Services,Analytics & KPO,3.7,395.0,140000.0,18.0,0.0,46.0,0.0,Chennai,7
Greet Technologies,BPO,2.7,395.0,120000.0,37.0,2.0,29.0,0.0,Bangalore / Bengaluru,7
ANR Software Private Limited,IT Services & Consulting,4.1,395.0,110000.00000000001,35.0,16.0,28.0,20.0,Noida,5
