name,industry,ratings,reviews,salaries,interviews,jobs,benefits,photos,hq,more_locations
Bajaj Finance,NBFC,3.9,8900.0,2250000.0,425.0,7200.0,502.0,15.0,Pune,971
Sutherland Global Services,BPO,3.4,8800.0,3450000.0,775.0,204.0,901.0,30.0,Chennai,82
Equitas Small Finance Bank,Banking,4.4,8700.0,1320000.0,999.0,21.0,397.0,43.0,Chennai,480
EXL Service,Analytics & KPO,3.6,8400.0,4410000.0,892.0,1500.0,799.0,20.0,Noida,62
Cipla,Pharma,4.1,8400.0,2600000.0,580.0,58.0,850.0,20.0,Mumbai,292
Ericsson,Telecom,3.9,8300.0,4250000.0,469.0,93.0,998.0,17.0,Noida,162
Samsung,Consumer Electronics & Appliances,3.9,8300.0,2640000.0,618.0,19.0,520.0,16.0,Noida,580
Wells Fargo,Financial Services,3.7,8200.0,5540000.0,676.0,142.0,855.0,13.0,Bangalore / Bengaluru,27
Dr. Reddy's,Pharma,4.0,8100.0,2600000.0,498.0,12.0,740.0,28.0,Hyderabad / Secunderabad,215
Optum Global Solutions,IT Services & Consulting,4.0,7700.0,4860000.0,751.0,121.0,686.0,1.0,Hyderabad / Secunderabad,68
Delhivery,Logistics,3.8,7700.0,2110000.0,601.0,194.0,656.0,70.0,Gurgaon / Gurugram,754
ICICI Prudential Life Insurance,Insurance,4.0,7600.0,2320000.0,473.0,578.0,625.0,13.0,Mumbai,505
JSW Steel,Iron & Steel,3.9,7600.0,3040000.0,791.0,114.0,600.0,32.0,Ballari,193
JPMorgan Chase & Co.,Financial Services,3.8,7600.0,8580000.0,854.0,775.0,845.0,14.0,Bangalore / Bengaluru,55
HGS,BPO,3.7,7600.0,2089999.9999999998,273.0,19.0,968.0,32.0,Bangalore / Bengaluru,121
Jana Small Finance Bank,Banking,3.8,7500.0,1440000.0,304.0,39.0,623.0,17.0,Bangalore / Bengaluru,419
Hexaware Technologies,IT Services & Consulting,3.4,7400.0,5320000.0,815.0,716.0,547.0,30.0,Chennai,68
Ujjivan Small Finance Bank,Banking,4.0,7400.0,1290000.0,314.0,212.0,579.0,26.0,Bangalore / Bengaluru,533
Sun Pharmaceutical Industries,Pharma,4.1,7400.0,2330000.0,652.0,325.0,594.0,17.0,Vadodara,265
Amazon Development Centre India,Internet,3.8,7400.0,3840000.0,876.0,8.0,20.0,12.0,Hyderabad / Secunderabad,146
Lupin,Pharma,4.1,7200.0,2260000.0,436.0,38.0,764.0,11.0,Pune,201
L&T Construction,Engineering & Construction,4.0,7200.0,1930000.0,943.0,0.0,929.0,35.0,Chennai,433
Zydus Lifesciences,Pharma,4.0,7200.0,1989999.9999999998,419.0,31.0,605.0,21.0,Ahmedabad,177
Ekart Logistics,Logistics,3.9,7200.0,1580000.0,405.0,0.0,422.0,75.0,Bangalore / Bengaluru,741
Hindustan Unilever,FMCG,4.2,7100.0,2010000.0000000002,463.0,44.0,704.0,3.0,Mumbai,533
KPMG India,Management Consulting,3.4,7000.0,6490000.000000001,913.0,65.0,749.0,6.0,Bangalore / Bengaluru,112
ITC,FMCG,3.9,7000.0,2440000.0,684.0,76.0,638.0,14.0,Bangalore / Bengaluru,376
Axis Max Life Insurance,Insurance,4.0,6900.0,1970000.0,399.0,147.0,495.0,8.0,New Delhi,495
Megha Engineering & Infrastructures,Engineering & Construction,3.9,6800.0,1870000.0,560.0,40.0,539.0,38.0,Hyderabad / Secunderabad,406
Tata Projects,Engineering & Construction,4.2,6700.0,2210000.0,584.0,26.0,540.0,59.0,Mumbai,286
Coforge,IT Services & Consulting,3.2,6500.0,4870000.0,693.0,128.0,273.0,102.0,Noida,103
FIS,FinTech,3.8,6400.0,3890000.0,532.0,129.0,721.0,17.0,Pune,61
Bajaj Life Insurance,Insurance,3.8,6400.0,1700000.0,440.0,64.0,474.0,17.0,Pune,608
L&T Technology Services,IT Services & Consulting,3.1,6400.0,4300000.0,626.0,0.0,444.0,11.0,Bangalore / Bengaluru,93
Cholamandalam Investment & Finance,Financial Services,3.8,6400.0,1290000.0,279.0,16.0,293.0,39.0,Chennai,842
